"CarID","NameFirstPart","NameSecondPart","Year"
"h2ztn","Z Turbo","'98","98"
"hacsn","Accord SiR","'96","96"
"hacwn","Accord Wagon","SiR '96","96"
"hairn","Integra Type R","(Acura) '98","98"
"hcfnn","Civic Ferio Si","II (EK) '96","96"
"hcfon","Civic Ferio SiR","(EG) '93","93"
"hcrxn","CR-X SiR","(EF8) '91","91"
"hcvnn","Civic SiR-II","(EK) '95","95"
"hcvon","Civic SiR-II","(EG) '93","93"
"hcvrn","Civic Type R","(EK) '97","97"
"hdegn","CR-X del Sol","VGi '95","95"
"hdeln","CR-X del Sol","VXi '92","92"
"hdern","CR-X del Sol","SiR '92","92"
"hdesn","CR-X del Sol","SiR '95","95"
"hiarn","Integra Type R","(Acura) '95","95"
"hiasn","Integra GS-R","(Acura) '95","95"
"hinrn","Integra Type R","'95","95"
"hinsn","Integra SiR-G","'95","95"
"hnann","NSX Type S Zero","(Acura) '97","97"
"hnarn","NSX","(Acura) '93","93"
"hnasn","NSX Type S","(Acura) '97","97"
"hnsbn","NSX","","0"
"hnsnn","NSX Type S Zero","","0"
"hnsrn","NSX Type R","'92","92"
"hnssn","NSX Type S","","0"
"hnsxn","NSX","'90","90"
"hpnen","Prelude SiR","'96","96"
"hpnvn","Prelude Type S","'96","96"
"hpren","Prelude Si","'91","91"
"hprvn","Prelude Si VTEC","'91","91"
"ia45n","145","2.0 Cloverleaf '98","98"
"ia54n","156 2.5 V6","24V '98","98"
"ia55n","155 2.0 TS","16V '98","98"
"ia56n","156 2.0 TS","16V '98","98"
"ia5dr","155 V6 Ti","Touring Car '98","95"
"ia63n","166 3.0 V6","24V '98","98"
"ia65n","166 2.5 V6","24V '98","98"
"ia66n","166 2.0 TS","16V '98","98"
"iag4n","GTV 3.0 V6","24V '98","98"
"iag6n","GTV 2.0 TS","16V '98","98"
"iaspn","Spider 2.0 TS","16V '98","98"
#"ii50n","Cinquecento","Sporting '98","98"
#"ii60n","Seicento","Sporting","0"
"iiban","Barchetta","","0"
"iictn","Coupe","2.0 20V Turbo","0"
"iio5n","500R","'75","75"
"iipun","Punto GT","","0"
"ildcn","Delta HF","Integrale Collezione","0"
"ilden","Delta HF","Integrale","0"
"ildvn","Delta HF","Integrale Evoluzione","0"
"ils4r","Delta S4","Rally Car '85","85"
"ilstn","Stratos","","0"
"ily3n","Y","1.2 16V","0"
"io11n","Elise 111S","","0"
"io13n","Elise 135","","0"
"io19n","Elise Sport 190","","0"
"ioe9n","Elan 1.6","'90","90"
"ioeln","Elise","","0"
"ioesn","Esprit","Sport 350","0"
"ioeun","Europa","","0"
"iogtn","Esprit V8 GT","","0"
"ioisr","Esprit GT1","","0"
"iolln","Elise GT1","","0"
"iomsn","MotorsportElise","","0"
"ios2n","Elan S2","'64","64"
"ios4n","Elan S4","Sprint '71","71"
"iosen","Esprit V8 SE","","0"
"k213n","m13 (Stage II)","","0"
"k231n","M30 GTS","(R31) '87","87"
"k232n","M30 GTS-R","(R32) '91","91"
"k233n","Tommykaira R","(R33) '95","95"
"k234n","Tommykaira R","(R34) '99","99"
"k2z2n","ZZII","","0"
"k2z3n","ZZIII","","0"
"k2zzn","ZZ-S Coupe","","0"
"ld6cn","DB6","","0"
"ld7cn","DB7 Coupe","","0"
"ld7vn","DB7 Volante","","0"
"ldvan","V8 Vantage","","0"
"m-tor","FTO LM Edition","","0"
"m2a5r","Lancer Evo V","Rally Car '98","98"
"m2agn","Galant VR-G","'99","99"
"m2aln","Galant VR-4","'99","99"
"m2g2n","Lancer Evo II","GSR '94","94"
"m2g4n","Galant","Super VR-4 '98","98"
"m2g5n","Lancer Evo V","GSR '98","98"
"m2g6n","Lancer Evo VI","GSR '99","99"
"m2l4n","Legnum","Super VR-4 '98","98"
"m2lgn","Legnum VR-4","type-S '97","97"
"m2lsn","Legnum ST","'97","97"
"m2m5n","Mine's Lancer","Evo V","0"
"m2m7n","Mirage Asti ZR","'97","97"
"m2m8n","Minica PJ","'98","98"
"m2man","Mirage Asti RX-R","'98","98"
"m2min","Mirage","Cyborg-ZR '97","97"
"m2mon","Minica","Dangan ZZ '90","90"
#"m2mrn","GTO MR","'99","99"
"m2ngn","Legnum VR-4","type-S '99","99"
"m2nsn","Legnum ST","'99","99"
"m2p8n","Pajero Mini","Sport '98","98"
"m2pjn","Pajero Mini","VR-II '97","97"
"m2r5n","Lancer Evo V","RS '98","98"
"m2r6n","Lancer Evo VI","RS '99","99"
#"m2srn","GTO SR","'99","99"
"m2tfr","Taeivon FTO","'99","99"
#"m2tlr","GTO LM Edition","'99","99"
#"m2ttn","GTO Twin Turbo","'99","99"
"m2w5r","Lancer Evo V","Rally Car '98","98"
"m2w6r","Lancer Evo VI","Rally Car '99","99"
"mecln","Eclipse GS-T","","97"
"mftgn","FTO GR","'97","97"
"mftnn","FTO GP","Version R '97","97"
"mfton","FTO GPX","'94","94"
"mftrn","FTO GR","'94","94"
"mftxn","FTO GPX","'97","97"
"mgagn","Galant VR-G","Touring '96","96"
"mgaln","Galant VR-4","'96","96"
"mgnon","GTO SR","'97","97"
"mgntn","GTO Twin Turbo","'97","97"
"mgoon","GTO","'92","92"
"mgotn","GTO Twin Turbo","'93","93"
"mgtlr","GTO LM Edition","","0"
"mgtmn","GTO MR","'95","95"
"mgton","GTO SR","'95","95"
"mgttn","GTO Twin Turbo","'95","95"
"mlnnn","Lancer Evo IV","GSR '96","96"
"mlnon","Lancer Evo III","GSR '95","95"
"mmgon","Mirage","Cyborg R '92","92"
"mmgrn","Mirage Asti RX","'96","96"
"n-00n","Nismo 400R","","0"
"n-18n","Sileighty","","0"
"n180n","180SX Type X","'95","95"
"n18nn","180SX Type X","'96","96"
"n18sn","180SX Type S","'96","96"
"n230n","Skyline RS-X","Turbo (DR30) '84","84"
"n231n","Skyline GTS-R","(R31) '87","87"
"n234n","Skyline 25GT","Turbo (R34) '98","98"
"n239r","R390 GT1","'97","97"
"n23nn","R390 GT1","Road Car '97","97"
"n23sr","Skyline","Silhouette Formula (R30)","0"
"n23zr","300ZX-GTS","'97","97"
"n240r","R390 GT1","'98","98"
"n24nn","R390 GT1","Road Car '98","98"
"n24pn","Nismo 400R","Prototype","0"
"n24rn","Skyline GT-R","(R34) '99","99"
"n24vn","Skyline GT-R","V spec (R34) '99","99"
"n24zn","Fairlady 240ZG","(HS30) '71","71"
"n260n","Stagea 260RS","Autech Ver. Nismo","0"
"n270n","Nismo 270R","","0"
"n271n","Skyline GT-R","(KPGC10) '71","71"
"n280n","Skyline 280","Type MR","0"
"n284n","Stagea 25t","RS Four V '98","98"
"n28gn","Stagea 260RS","Autech Ver. '98","98"
"n2cun","Cube X","'98","98"
"n2d3r","HKS R33 Drag","GT-R","0"
"n2d8r","HKS Drag 180SX","","0"
"n2dsr","Daishin Silvia","'99","99"
"n2g7r","Zexel GT-R","'97","97"
"n2gcr","Calsonic GT-R","'99","99"
"n2gkr","Kure R33","'97","97"
"n2gpr","Pennzoil GT-R","'99","99"
"n2gur","Unisia GT-R","'99","99"
"n2gzr","ARTA Zexel GT-R","'99","99"
"n2ksn","Silvia K's Aero","SE (S14) '98","98"
"n2m2n","Mine's R32.5","Skyline GT-R","0"
"n2m3n","Mine's R33","Skyline GT-R","0"
"n2m4n","Mine's R34","Skyline GT-R","0"
#"n2man","March G#","'97","97"
"n2mtn","March","Super Turbo '89","89"
"n2p1n","Pulsar VZ-R N1","'97","97"
"n2p2n","Primera 2.0Te-V","'98","98"
"n2pvn","Pulsar VZ-R","'97","97"
"n2pwn","Primera Wagon","2.0G-V '98","98"
"n2r4n","Skyline GT-R","Autech Ver. '97","97"
"n2rnn","Skyline GT-R","Autech Ver. Nismo","0"
#"n2rtn","Z Ver.R 2by2","Twin Turbo '98","98"
"n2s4n","Stagea RS Four","V '97","97"
"n2sgn","Stagea 260RS","Autech Ver. '97","97"
"n2skn","Silvia Spec R","(S15) '99","99"
"n2snn","Sunny VZ-R","'98","98"
"n2sqn","Silvia Spec S","(S15) '99","99"
#"n2stn","Z Ver.S 2seater","Twin Turbo '98","98"
"n2sxn","Silvia Spec R","Aero (S15) '99","99"
"n2syn","Silvia Spec S","Aero (S15) '99","99"
"n2xsr","Xanavi Silvia","'99","99"
#"n2zrn","Z Ver.R 2by2","'98","98"
#"n2zsn","Z Ver.S 2seater","'98","98"
"n432n","Skyline GTS4","(R32) '91","91"
"nax3n","300ZX 2-seater","'95","95"
"naxsn","300ZX Turbo","'95","95"
"naxvn","300ZX 2+2","'95","95"
"ne14n","200SX","(S14) '95","95"
"ne15n","200SX","(S14) '98","98"
"nep2n","Primera 2.0Tm","S Selection '98","98"
"nl33n","Nismo GT-R LM","Road Car (R33)","0"
"nm32n","Skyline GTS25","Type S (R32) '91","91"
"nn32n","Skyline GT-R","NISMO (R32) '90","90"
"nplon","Pulsar GTi-R","'91","91"
"nprin","Primera 2.0Te","'95","95"
"npron","Primera 2.0Te","'90","90"
"nq13n","Silvia Q's","(S13) '88","88"
"nq14n","Silvia Q's","(S14) '95","95"
"nq15n","Silvia Q's Aero","(S14) '96","96"
"nq23n","Silvia Q's","(S13) '91","91"
"nr02n","Skyline GT-R","(R32) '89","89"
"nr32n","Skyline GT-R","(R32) '91","91"
"nr33n","Skyline GT-R","(R33) '95","95"
"nr34n","Skyline GT-R","(R33) '97","97"
"ns13n","Silvia K's","(S13) '88","88"
"ns14n","Silvia K's","(S14) '95","95"
"ns15n","Silvia K's Aero","(S14) '96","96"
"ns23n","Silvia K's","(S13) '91","91"
"nt32n","Skyline GTS-t","Type M (R32) '91","91"
"nt33n","Skyline GTS25t","Type M (R33) '96","96"
"nv12n","Skyline GT-R","V spec (R32) '93","93"
"nv22n","Skyline GT-R","V spec II (R32) '94","94"
"nv33n","Skyline GT-R","V spec (R33) '95","95"
"nv34n","Skyline GT-R","V spec (R33) '97","97"
"nzx2n","Z Ver.S 2by2","Twin Turbo '94","94"
"nzx3n","Z Ver.S 2seater","'94","94"
"nzxsn","Z Ver.S 2seater","Twin Turbo '94","94"
"nzxvn","Z Ver.S 2by2","'94","94"
"q2m2n","Move SR-XX","(2WD) '97","97"
"q2m4n","Move SR-XX","(4WD) '97","97"
"q2m8n","Move SR-XX","'98","98"
"q2mcn","Move Aerodown","Custom (4WD) '98","98"
"q2min","Midget II","D-type","0"
"q2mon","Mira TR-XX","'90","90"
"q2mvn","Move CX","'95","95"
"q2o4n","Opti Club Sport","(4WD) '97","97"
"q2oen","Opti Aerodown","Beex (4WD) '98","98"
"q2opn","Opti Club Sport","(2WD) '97","97"
"q2s4n","Storia CX","(4WD) '98","98"
"q2sgr","Storia","Rally Car","0"
"q2stn","Storia CX","(2WD) '98","98"
"q2ten","Terios Kid","Aerodown '98","98"
"q2trn","Mira TR","'98","98"
"q2txn","Mira TX","'98","98"
"q2x4n","Storia X4","'98","98"
"s222n","Impreza 22B","STi Ver. '98","98"
"s236n","360 Young SS","'69","69"
"s2a6n","Impreza typeRA","STi Ver.VI '99","99"
"s2cir","Cusco Impreza","'99","99"
"s2fon","Forester S/tb","'97","97"
"s2i4n","Impreza WRX STi","Ver.IV '97","97"
"s2i5n","Impreza WRX STi","Ver.V '98","98"
"s2i6n","Impreza WRX STi","Ver.VI '99","99"
"s2irr","Impreza","Rally Car '99","99"
"s2iwn","Impreza WRX","'97","97"
"s2lbn","Legacy Wagon","GT-B Limited '97","97"
"s2lgn","Legacy B4 RSK","'98","98"
"s2lwn","Legacy Wagon","GT-B '98","98"
"s2nin","Impreza WRX","'98","98"
"s2nwn","Impreza WRX","Wagon '98","98"
"s2pmn","Pleo RM","'98","98"
"s2psn","Pleo RS","'98","98"
"s2r4n","Impreza typeR","STi Ver.IV '97","97"
"s2r5n","Impreza typeR","STi Ver.V '98","98"
"s2r6n","Impreza typeR","STi Ver.VI '99","99"
"s2v4n","Vivio RX-RA","'97","97"
"s2vin","Vivio RX-R","'97","97"
"s2w4n","Impreza WRX STi","Wagon Ver.IV '97","97"
"s2w5n","Impreza WRX STi","Wagon Ver.V '98","98"
"s2w6n","Impreza WRX STi","Wagon Ver.VI '99","99"
"s2wwn","Impreza WRX","Wagon '97","97"
"sipan","Impreza WRX","'96","96"
"sipbn","Impreza WRX STi","Ver.III '96","96"
"sipcn","Impreza WRX","Wagon '96","96"
"sipdn","Impreza WRX STi","Wagon Ver.III '96","96"
"siprn","Impreza typeR","STi '96","96"
"sipsn","Impreza WRX STi","Ver.II '95","95"
"siptn","Impreza WRX STi","Wagon Ver.II '95","95"
"sipwn","Impreza WRX","Wagon '94","94"
"sipxr","Impreza","Rally Car","0"
"sipzn","Impreza WRX","'94","94"
"slgan","Legacy Touring","Wagon GT-B '96","96"
"slgbn","Legacy Touring","Sedan RS '96","96"
"slgnn","Legacy Touring","Sports RS '93","93"
"slgwn","Legacy Touring","Wagon GT '93","93"
"ssv4n","Alcyone SVX S4","'95","95"
"ssvxn","Alcyone SVX","Ver.L '95","95"
"t-rdn","TRD3000GT","","0"
"t211n","MR2","1600G-Limited '86","86"
"t22dn","TRD2000GT","","0"
"t22gn","2000GT","'67","67"
"t22hn","2000GT","'67","67"
"t261n","Starlet S","(KP61) '80","80"
"t271n","Starlet Turbo S","(EP71) '87","87"
"t285n","Celica GT-Four","(ST165) '88","88"
"t286r","BP A'PEX Trueno","'99","99"
"t291n","Altezza RS200","'98","98"
"t292n","Altezza AS200","'98","98"
"t29lr","Altezza LM","Edition","0"
"t29nn","Altezza 280T","(Tuned by TOM'S)","0"
"t2a1n","Aristo 3.0V","'91","91"
"t2a3n","Aristo V300","'97","97"
"t2c3n","Celica SS-III","'97","97"
"t2c4n","Celica GT-Four","(ST185) '91","91"
"t2can","Caldina GT-T","'97","97"
"t2cdn","XYR","Detroit Show ver. '99","99"
"t2cen","Celica SS-II","Elegant Ver. '99","99"
"t2clr","Celica","Rally Car","0"
"t2cmn","Celica SS-II","Mechanical Ver. '99","99"
"t2con","Celica GT-R","(ST185) '91","91"
"t2crn","Celica GT-Four","RC (ST185) '91","91"
"t2cwr","Corolla","Rally Car '97","97"
"t2cxr","Corolla","Rally Car '98","98"
"t2cyn","Celica SS-II","'99","99"
"t2g1n","GT-ONE","Road Ver. '98","98"
"t2g8r","GT-ONE","'98","98"
"t2g9r","GT-ONE","'99","99"
"t2h8r","GT-ONE","'98","98"
"t2h9r","GT-ONE","'99","99"
"t2isn","Lexus IS 200","","0"
"t2lgn","Lexus GS 400","","0"
"t2lsn","Lexus SC 400","","0"
"t2lvn","Corolla Levin","BZR '98","98"
"t2m2n","MR2 GT-S","'98","98"
"t2mgn","MR2 G-Limited","'98","98"
"t2mmr","MOMO Corse MR2","'99","99"
#"t2msn","MR-S","S Edition '99","99"
"t2mtn","MR-S Motor Show","Ver. '97","97"
#"t2o3n","Soarer 3.0GT","'96","96"
"t2prn","Prius","'97","97"
#"t2s3n","Aristo S300","'97","97"
"t2scr","Castrol Supra","'99","99"
"t2sdr","Denso Supra","'99","99"
"t2sor","Cerumo Supra","'99","99"
"t2spn","MR Spider","'96","96"
"t2srn","Supra SZ-R","'97","97"
"t2ssn","Supra RZ","'97","97"
"t2svn","Starlet","Glanza V '98","98"
"t2t1n","TOM'S T111","","0"
"t2t2n","TOM'S T020","","0"
"t2t8n","TOM'S Supra","","0"
"t2tan","TOM'S Angel T01","","0"
"t2trn","Sprinter Trueno","BZR '98","98"
#"t2vzn","Vitz F","'99","99"
"t2wsr","Weds Celica","'99","99"
"t2x3n","Chaser TRD","Sports X30","0"
"t2xxn","Celica XX","2800GT '83","83"
"tcegn","Celica GT-Four","(ST205) '95","95"
"tceln","Celica SS-II","'95","95"
"tchsn","Chaser Tourer S","'96","96"
"tchvn","Chaser Tourer V","'96","96"
"texvn","Corona Exiv","200GT '96","96"
"tlevn","Corolla Levin","BZG '96","96"
"tlv1n","Corolla Levin","GT-APEX '85","85"
"tlvon","Corolla Levin","GT-APEX '83","83"
"tm2sn","Mark II","Tourer S '92","92"
"tm2vn","Mark II","Tourer V '92","92"
"tmr2n","MR2 GT-S","'96","96"
"tmrln","MR2 G-Limited","'96","96"
"tsgtn","Supra GT Turbo","Limited '93","93"
"tsoan","Soarer 2.5GT-T","VVT-i '96","96"
"tsonn","Supra RZ","'95","95"
"tsoon","Soarer 2.5GT-T","'95","95"
"tsorn","Supra SZ-R","'95","95"
"tsplr","Castrol Supra","'96","96"
"tspnn","Supra RZ","'96","96"
"tspon","Supra","Twinturbo-R '91","91"
"tsprn","Supra SZ-R","'96","96"
"tstln","Starlet","Glanza V '96","96"
"ttr1n","Sprinter Trueno","GT-APEX '85","85"
"ttrnn","Sprinter Trueno","BZG '96","96"
"ttron","Sprinter Trueno","GT-APEX '83","83"
"uf40n","GT40","'66","66"
"uf4lr","GT40","Race Car '69","69"
"uf90n","GT90","","0"
"ufc9n","Mustang SVT","Cobra '99","99"
"ufcrn","Mustang SVT","Cobra '98","98"
"ufm9n","Mustang GT","'99","99"
"ufmun","Mustang GT","'98","98"
"ufs9r","Saleen SR","Widebody '99","99"
"uftan","Taurus SHO","'99","99"
"ulcun","Cuda","'70","70"
"ulgxn","GTX","'67","67"
"ulpsn","Pronto Spyder","","0"
#"ulrrn","Road Runner","'71","71"
"ulsbn","Superbird","'70","70"
"um67n","Cougar XR-7","'67","67"
"umcon","Cougar","'99","99"
"us35n","GT350","'66","66"
"us36n","GT350","'66","66"
"us50n","GT500KR","'68","68"
"us51n","GT500","'68","68"
"usccr","Cobra Daytona","'65","65"
"uscon","Cobra 427","'67","67"
"uss1n","Series 1","","0"
"uv12n","M12","","0"
"uv2lr","M12 LM Edition","","0"
"uvw8n","Wiegert W8","Twin Turbo","0"
"v-rbr","Cerbera LM","Edition","0"
"vc50n","Chimaera 5.0","","0"
"vce5n","Cerbera 4.5","","0"
"vch2n","Chimaera 4.0","","0"
"vch5n","Chimaera 4.5","","0"
"vcrbn","Cerbera 4.2","","0"
"vcs6n","Cerbera Speed 6","","0"
"vgr5n","Griffith 500","","0"
"vgrfn","Griffith","Blackpool B340","0"
"vs12n","Speed 12","","0"
"vst6n","Tuscan Speed 6","","0"
"x2a8n","Alto Works RS/Z","'98","98"
"x2aln","Alto Works RS/X","'90","90"
"x2asn","Alto Works","Sports Limited '97","97"
"x2azn","Alto Works RS/Z","'97","97"
"x2cpn","Cappuccino","'95","95"
"x2cur","Cultus","Pikes Peak Ver.","0"
"x2esr","Escudo","Pikes Peak Ver.","0"
"x2ksn","Kei S","'98","98"
"x2son","Cervo Mode","SR-Four '90","90"
"x2w8n","Wagon R RR","'98","98"
"x2wfn","Wagon R","Column FT '97","97"
"x2wrn","Wagon R Turbo","RT/S '95","95"
"x2wsn","Wagon R Aero RS","'97","97"
