"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"hacwr","[R]HONDA ACCORD WGN SiR '96","[R]Accord Wagon SiR '96","[R]Accord Wagon SiR '96","False","False","False","False"
"hairn","ACURA INTEGRA Type R","Acura Integra Type R","Acura Integra Type R","False","False","False","False"
"hairr","[R]ACURA INTEGRA Type R","[R]Acura Integra Type R","[R]Acura Integra Type R","False","False","False","False"
"hcfnn","HONDA CIVIC FERIO Si II (EK)","Civic Ferio Si II '96","Civic Ferio Si II '96","False","False","False","False"
"hcfnr","[R]HONDA CIVIC FERIO Si II (EK)","[R]Civic Ferio Si II '96","[R]Civic Ferio Si II '96","False","False","False","False"
"hcfon","HONDA CIVIC FERIO SiR '93","Civic Ferio SiR '93","Civic Ferio SiR '93","False","False","False","False"
"hcfor","[R]HONDA CIVIC FERIO SiR '93","[R]Civic Ferio SiR '93","[R]Civic Ferio SiR '93","False","False","False","False"
"hcrxn","HONDA CR-X SiR (EF8)","CR-X SiR '91","CR-X SiR '91","False","False","False","False"
"hcrxr","[R]HONDA CR-X SiR (EF8)","[R]CR-X SiR '91","[R]CR-X SiR '91","False","False","False","False"
"hcvnn","HONDA CIVIC SiR-II (EK)","Civic SiR-II '95","Civic SiR-II '95","False","False","False","False"
"hcvnr","[R]HONDA CIVIC SiR-II (EK)","[R]Civic SiR-II '95","[R]Civic SiR-II '95","False","False","False","False"
"hcvon","HONDA CIVIC SiR-II (EG) '93","Civic SiR-II '93","Civic SiR-II '93","False","False","False","False"
"hcvor","[R]HONDA CIVIC SiR-II (EG) '93","[R]Civic SiR-II '93","[R]Civic SiR-II '93","False","False","False","False"
"hcvrn","HONDA CIVIC Type R (EK)","Civic Type R '97","Civic Type R '97","False","False","False","False"
"hcvrr","[R]HONDA CIVIC Type R (EK)","[R]Civic Type R '97","[R]Civic Type R '97","False","False","False","False"
"hdegn","HONDA CR-X Del-Sol VGi '95","CR-X del Sol VGi '95","CR-X del Sol VGi '95","False","False","False","False"
"hdegr","[R]HONDA CR-X Del-Sol VGi '95","[R]CR-X del Sol VGi '95","[R]CR-X del Sol VGi '95","False","False","False","False"
"hdeln","HONDA CR-X Del-Sol VXi '92","CR-X del Sol VXi '92","CR-X del Sol VXi '92","False","False","False","False"
"hdelr","[R]HONDA CR-X Del-Sol VXi '92","[R]CR-X del Sol VXi '92","[R]CR-X del Sol VXi '92","False","False","False","False"
"hdern","HONDA CR-X Del-Sol SiR '92","CR-X del Sol SiR '92","CR-X del Sol SiR '92","False","False","False","False"
"hderr","[R]HONDA CR-X Del-Sol SiR '92","[R]CR-X del Sol SiR '92","[R]CR-X del Sol SiR '92","False","False","False","False"
"hdesn","HONDA CR-X Del-Sol SiR '95","CR-X del Sol SiR '95","CR-X del Sol SiR '95","False","False","False","False"
"hdesr","[R]HONDA CR-X Del-Sol SiR '95","[R]CR-X del Sol SiR '95","[R]CR-X del Sol SiR '95","False","False","False","False"
"hiarn","ACURA INTEGRA Type R","Acura Integra Type R '95","Acura Integra Type R '95","False","False","False","False"
"hiarr","[R]ACURA INTEGRA Type R","[R]Acura Integra Type R '95","[R]Acura Integra Type R '95","False","False","False","False"
"hinrn","INTEGRA Type R","Honda Integra Type R '95","Honda Integra Type R '95","False","False","False","False"
"hinrr","[R]INTEGRA Type R","[R]Honda Integra Type R '95","[R]Honda Integra Type R '95","False","False","False","False"
"hpnen","HONDA PRELUDE SiR '96","Prelude SiR '96","Prelude SiR '96","False","False","False","False"
"hpner","[R]HONDA PRELUDE SiR '96","[R]Prelude SiR '96","[R]Prelude SiR '96","False","False","False","False"
"hpnvn","HONDA PRELUDE TYPE S '96","Prelude Type S '96","Prelude Type S '96","False","False","False","False"
"hpnvr","[R]HONDA PRELUDE TYPE S '96","[R]Prelude Type S '96","[R]Prelude Type S '96","False","False","False","False"
"hpren","HONDA PRELUDE Si '91","Prelude Si '91","Prelude Si '91","False","False","False","False"
"hprer","[R]HONDA PRELUDE Si '91","[R]Prelude Si '91","[R]Prelude Si '91","False","False","False","False"
"hprvn","HONDA PRELUDE Si VTEC '91","Prelude Si VTEC '91","Prelude Si VTEC '91","False","False","False","False"
"hprvr","[R]HONDA PRELUDE Si VTEC '91","[R]Prelude Si VTEC '91","[R]Prelude Si VTEC '91","False","False","False","False"
